id,name,rating,review_count,price,categories,address,city,state,zip_code,latitude,longitude,url,hours,fetched_city,fetched_category,bayes_score,popularity,rank_score
3fxpHgq9Fzio5MITb1Z27Q,B's Family Dining,4.6,235,$,"American, Diners",101 N Main St,Fort Stockton,TX,79735.0,30.8853906590578,-102.879280301732,https://www.yelp.com/biz/bs-family-dining-fort-stockton?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-18:00 | Tuesday: 11:00-18:00 | Wednesday: 11:00-18:00 | Thursday: 11:00-18:00 | Friday: 11:00-18:00 | Saturday: Closed | Sunday: Closed,"Odessa, TX",diners,4.489727310574521,5.4638318050256105,8.169394541885895
ZUWHDf2naq6pb3gvsd8eLQ,Taco di Vino,4.5,280,$$,Tacos,111 W Oak Ave,Midland,TX,79705.0,32.02268,-102.08072,https://www.yelp.com/biz/taco-di-vino-midland?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-21:00 | Tuesday: 11:00-21:00 | Wednesday: 11:00-21:00 | Thursday: 11:00-21:00 | Friday: 11:00-21:00 | Saturday: 11:00-22:00 | Sunday: Closed,"Midland, TX",mexican,4.411100249223486,5.638354669333745,8.141802402289757
8g9Nma29GHKShkdCxS42vA,Cork & Pig Tavern,4.1,600,$$,"New American, Wine Bars, Cocktail Bars",7260 E Hwy 191,Odessa,TX,79765.0,31.9103459908978,-102.29795153311576,https://www.yelp.com/biz/cork-and-pig-tavern-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-22:00 | Tuesday: 11:00-22:00 | Wednesday: 11:00-22:00 | Thursday: 11:00-22:00 | Friday: 11:00-23:00 | Saturday: 10:00-23:00 | Sunday: 10:00-21:00,"Odessa, TX",indian,4.065990820591323,6.398594934535208,7.9684850608666675
get6Uh_bY6oOMDQGxxiLSQ,Noodle House,4.2,362,$$,"Noodles, Dim Sum, Soup",3200 Andrews Hwy,Midland,TX,79701.0,32.00318,-102.11893,https://www.yelp.com/biz/noodle-house-midland?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-21:00 | Tuesday: 11:00-21:00 | Wednesday: 11:00-21:00 | Thursday: 11:00-21:00 | Friday: 11:00-21:00 | Saturday: 11:00-21:00 | Sunday: 11:00-20:00,"Odessa, TX",noodles,4.140939661393284,5.8944028342648505,7.802194632888728
XOGjSOY_Dtv6M2f9q_PNCg,Teak & Charlie's Jersey Girl Pizza,4.3,267,$$,"Pizza, Salad, Sandwiches",4007 John Ben Shepperd Pkwy,Odessa,TX,79762.0,31.890087,-102.334115,https://www.yelp.com/biz/teak-and-charlies-jersey-girl-pizza-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-21:00 | Tuesday: 11:00-21:00 | Wednesday: 11:00-21:00 | Thursday: 11:00-21:00 | Friday: 11:00-21:00 | Saturday: 11:00-21:00 | Sunday: Closed,"Odessa, TX",pizza,4.2162584750802905,5.5909869805108565,7.7522154111766595
0fIpjBuyqrz85AQY0ZIA6Q,Mi Casita,4.3,233,$,"Mexican, Burgers, Tex-Mex",405 E Dickinson Blvd,Fort Stockton,TX,79735.0,30.8931649,-102.8757203,https://www.yelp.com/biz/mi-casita-fort-stockton?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,"Monday: Closed | Tuesday: 11:00-14:00, 17:00-20:00 | Wednesday: 11:00-14:00, 17:00-20:00 | Thursday: 11:00-14:00, 17:00-20:00 | Friday: 11:00-14:00 | Saturday: Closed | Sunday: Closed","Odessa, TX",tex-mex,4.204684443180818,5.455321115357702,7.645370017125871
64M3w9TkesDKu5fn_EMylA,Curb Side Bistro,4.4,186,$$,"New American, Comfort Food",3816 Andrews Hwy,Odessa,TX,79762.0,31.880709271808,-102.384301389025,https://www.yelp.com/biz/curb-side-bistro-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: Closed | Tuesday: 11:00-21:00 | Wednesday: 11:00-21:00 | Thursday: 11:00-21:00 | Friday: 11:00-22:00 | Saturday: 11:00-21:00 | Sunday: Closed,"Odessa, TX",indian,4.275640065439605,5.231108616854587,7.630590703773079
KgwygskE1jmpQtjQxEX-Kw,Red Oak Kitchen,4.2,246,$$,"New American, Bars",7260 E State Hwy 191,Odessa,TX,79765.0,31.9122898,-102.2958118,https://www.yelp.com/biz/red-oak-kitchen-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 07:30-22:00 | Tuesday: 07:30-22:00 | Wednesday: 07:30-22:00 | Thursday: 07:30-22:00 | Friday: 07:30-22:00 | Saturday: 07:30-22:00 | Sunday: 07:30-21:00,"Odessa, TX",indian,4.114487926727727,5.5093883366279774,7.5147346959342824
xKCWylAyf-yCVC5lL0eQsw,Sumo Sushi & Hibachi,4.7,91,,"Sushi Bars, Japanese",4706 N Midkiff Rd,Midland,TX,79705.0,32.03465152389663,-102.12905841165608,https://www.yelp.com/biz/sumo-sushi-and-hibachi-midland?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-21:30 | Tuesday: 11:00-21:30 | Wednesday: 11:00-21:30 | Thursday: 11:00-21:30 | Friday: 11:00-22:00 | Saturday: 11:00-22:00 | Sunday: 12:00-21:00,"Odessa, TX",sushi,4.424542048293089,4.5217885770490405,7.425568602189818
UJqbhZE2wU77h3GT4h4Nng,Whitehouse Meat Market,4.4,139,$$,"Burgers, Meat Shops",7270 Hwy 191 Frontage,Odessa,TX,79765.0,31.91082007387394,-102.29742619523029,https://www.yelp.com/biz/whitehouse-meat-market-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: Closed | Tuesday: 07:00-18:00 | Wednesday: 07:00-18:00 | Thursday: 07:00-18:00 | Friday: 07:00-18:00 | Saturday: 07:00-18:00 | Sunday: Closed,"Odessa, TX",burgers,4.237186664621587,4.941642422609304,7.377985870782855
