id,name,rating,review_count,price,categories,address,city,state,zip_code,latitude,longitude,url,hours,fetched_city,fetched_category
oD0bUKpkVGfeuzsTAE5zvA,El INDIO de Michoacan,4.8,6,,"Food Trucks, Mexican",2326 Loop 250 N,Midland,TX,79703,32.03827597373182,-102.1160249,https://www.yelp.com/biz/el-indio-de-michoacan-midland-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: 11:00-22:00 | Sunday: 13:00-22:00,"Odessa, TX",mexican
SSitljvA2cMFhuSSvtZeCg,Manuel's Odessa Tortilla & Tamale Factory,4.8,11,$$,Mexican,1915 E 2nd St,Odessa,TX,79761,31.85619,-102.34615,https://www.yelp.com/biz/manuels-odessa-tortilla-and-tamale-factory-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 07:00-16:30 | Tuesday: 07:00-16:30 | Wednesday: 07:00-16:30 | Thursday: 07:00-16:30 | Friday: 07:00-16:30 | Saturday: Closed | Sunday: Closed,"Odessa, TX",mexican
j93I0Jqe1sMFE_QPnkwtUw,Wall Street Cocina - Odessa,4.8,5,,Mexican,4101 E 42nd St,Odessa,TX,79762,31.89614535949764,-102.33844697794991,https://www.yelp.com/biz/wall-street-cocina-odessa-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-20:00 | Tuesday: 11:00-20:00 | Wednesday: 11:00-20:00 | Thursday: 11:00-20:00 | Friday: 11:00-21:00 | Saturday: 11:00-21:00 | Sunday: 12:00-18:00,"Odessa, TX",mexican
xu4CV8ENp2pHf5fChCH0FA,Vaqueros Over the Fire,4.6,8,,"Tacos, Breakfast & Brunch, Food Trucks",2000 N County Rd,W Odessa,TX,79763,31.85667823737403,-102.3939566018526,https://www.yelp.com/biz/vaqueros-over-the-fire-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: Closed | Tuesday: 11:00-20:00 | Wednesday: 11:00-20:00 | Thursday: 11:00-20:00 | Friday: 11:00-14:00 | Saturday: 09:00-14:00 | Sunday: 09:00-14:00,"Odessa, TX",mexican
1FRVQ9DnLWt8VGkEZ4hqiQ,Limon Con Chile,4.6,45,,"Mexican, Breakfast & Brunch, Soup",1001 W 10th St,Odessa,TX,79763,31.84769,-102.38226,https://www.yelp.com/biz/limon-con-chile-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 08:00-15:00 | Tuesday: 08:00-15:00 | Wednesday: 08:00-15:00 | Thursday: 08:00-15:00 | Friday: 08:00-15:00 | Saturday: 08:00-15:00 | Sunday: 08:00-15:00,"Odessa, TX",mexican
ZK6SssHajk8-Bspo69-5Uw,Taqueria Guadalupana,4.5,74,$,Mexican,1255 S Grant Ave,Odessa,TX,79761,31.83383,-102.35875,https://www.yelp.com/biz/taqueria-guadalupana-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: Closed | Tuesday: 08:30-15:00 | Wednesday: 08:30-15:00 | Thursday: 08:30-15:00 | Friday: 08:30-15:00 | Saturday: 08:30-15:00 | Sunday: 08:30-15:00,"Odessa, TX",mexican
WzxqvzRZ5pwXkaw-XwK-QQ,Pollos Asados Rio Grande,4.5,50,$$,Mexican,1200 S Grant Ave,Odessa,TX,79761,31.83523,-102.36066,https://www.yelp.com/biz/pollos-asados-rio-grande-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 10:00-21:00 | Tuesday: 10:00-21:00 | Wednesday: 10:00-21:00 | Thursday: 10:00-21:00 | Friday: 10:00-21:00 | Saturday: 10:00-21:00 | Sunday: Closed,"Odessa, TX",mexican
4RsiLmTg0ySLdD4X8OUKIQ,La Cabana Mexican Drive Thru,4.3,12,,Mexican,6005 W 16th St,Odessa,TX,79763,31.83896809971588,-102.44375047237511,https://www.yelp.com/biz/la-cabana-mexican-drive-thru-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 05:00-20:00 | Tuesday: 05:00-20:00 | Wednesday: 05:00-20:00 | Thursday: 05:00-20:00 | Friday: 05:00-20:00 | Saturday: 05:00-15:00 | Sunday: Closed,"Odessa, TX",mexican
d1WynVgvJyaC3Of_jFlXrA,La Nortena Tamale Factory,4.3,12,,"Mexican, Specialty Food",2901 E Interstate 20,Odessa,TX,79766,31.8543550012311,-102.31897219833776,https://www.yelp.com/biz/la-nortena-tamale-factory-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: Closed | Tuesday: 05:00-14:00 | Wednesday: 05:00-14:00 | Thursday: 05:00-14:00 | Friday: 05:00-14:00 | Saturday: 07:00-14:00 | Sunday: 07:00-14:00,"Odessa, TX",mexican
BboSIJybE4PfrjyN0pMjaA,Elva's Taco Casa,4.3,25,$,Mexican,807 Royalty Ave,Odessa,TX,79761,31.860422,-102.351119,https://www.yelp.com/biz/elvas-taco-casa-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 09:30-16:00 | Tuesday: 09:30-16:00 | Wednesday: 09:30-16:00 | Thursday: 09:30-16:00 | Friday: 09:30-16:00 | Saturday: Closed | Sunday: Closed,"Odessa, TX",mexican
